identifier,process,crossSection=-1,BR=1,execute=True,dataset,prefix,pattern,splitLevel,::variables,::pyFragments,comment
VBFH0Mf05ph0_M125, ,-1,0,,/VBFHiggs0Mf05ph0ToZZTo4L_M125_13TeV_JHUgenV6_pythia8/RunIISpring16MiniAODv2-PUSpring16RAWAODSIM_reHLT_80X_mcRun2_asymptotic_v14-v1/MINIAODSIM,dbs,,2,ghz1=1;ghz4=0.297979;SPIN=0;REWEIGHTING_TYPE=VBFHZZ_spin0;VVMODE=1;VVDECAYMODE=0;PRODANOMALOUS=True;REWEIGHTING_CUTOFFS=24.9333088303|197.982725153|54.6153145691|1.44432952875e-13|5446.07474004|2972.28044804|291.662807263|74.2610821502|-1.0|97.952968167|87.9457054199|390.854583752|239.773802466,,
VBFH0PH_M125, ,-1,0,,/VBFHiggs0PHToZZTo4L_M125_13TeV_JHUgenV6_pythia8/RunIISpring16MiniAODv2-PUSpring16RAWAODSIM_reHLT_80X_mcRun2_asymptotic_v14-v1/MINIAODSIM,dbs,,2,ghz2=1;SPIN=0;REWEIGHTING_TYPE=VBFHZZ_spin0;VVMODE=1;VVDECAYMODE=0;PRODANOMALOUS=True;REWEIGHTING_CUTOFFS=98.5846155594|-1.0|30.3221972382|7.11945118581e-14|358.561781646|2851.81776469|142.759387421|123.756997262|113.884082111|91.4720222244|49.2440372337|205.782698883|127.2215105,,
VBFH0PHf05ph0_M125, ,-1,0,,/VBFHiggs0PHf05ph0ToZZTo4L_M125_13TeV_JHUgenV6_pythia8/RunIISpring16MiniAODv2-PUSpring16RAWAODSIM_reHLT_80X_mcRun2_asymptotic_v14-v1/MINIAODSIM,dbs,,2,ghz1=1;ghz2=.271965;SPIN=0;REWEIGHTING_TYPE=VBFHZZ_spin0;VVMODE=1;VVDECAYMODE=0;PRODANOMALOUS=True;REWEIGHTING_CUTOFFS=19.9706342773|106.068392029|70.004157959|1.37717507537e-13|1863.2329502|4426.89008984|224.432165283|-1.0|37.1502247009|89.7520517578|98.9680316162|356.506546142|267.15407251,,
VBFH0PM_M125, ,-1,0,,/VBFHiggs0PMToZZTo4L_M125_13TeV_JHUgenV6_pythia8/RunIISpring16MiniAODv2-PUSpring16RAWAODSIM_reHLT_80X_mcRun2_asymptotic_v14-v1/MINIAODSIM,dbs,,2,ghz1=1;SPIN=0;REWEIGHTING_TYPE=VBFHZZ_spin0;VVMODE=1;VVDECAYMODE=0;PRODANOMALOUS=True;REWEIGHTING_CUTOFFS=-1.0|2972.33681286|838.21477611|1.0820580207e-12|86421.6771719|88619.0202624|1700.83151377|629.168400403|460.093384741|559.613863006|1190.45294817|4583.00967583|1755.98786472,,

WH0L1_M125, ,-1,0,,/WHiggs0L1ToZZTo4L_M125_13TeV_JHUgenV6_pythia8/RunIISpring16MiniAODv2-PUSpring16RAWAODSIM_reHLT_80X_mcRun2_asymptotic_v14-v1/MINIAODSIM,dbs,,2,ghz1_prime2=1;SPIN=0;REWEIGHTING_TYPE=WHZZ_spin0;VVMODE=1;VVDECAYMODE=0;PRODANOMALOUS=True;REWEIGHTING_CUTOFFS=1.51834010158e+15|1.00850300362e+17|5.06053994173e+16|-1.0|2.32100074263e+18|2.54072931983e+18|8.8257654804e+16|1.82637454787e+15|3.80044796735e+15|7.19201432505e+14|2.52358978165e+16|5.96614471862e+16|6.60684108016e+15,,
WH0L1f05ph0_M125, ,-1,0,,/WHiggs0L1f05ph0ToZZTo4L_M125_13TeV_JHUgenV6_pythia8/RunIISpring16MiniAODv2-PUSpring16RAWAODSIM_reHLT_80X_mcRun2_asymptotic_v14-v1/MINIAODSIM,dbs,,2,ghz1=1;ghz1_prime2=-525.274;SPIN=0;REWEIGHTING_TYPE=WHZZ_spin0;VVMODE=1;VVDECAYMODE=0;PRODANOMALOUS=True;REWEIGHTING_CUTOFFS=236.194632904|16845.5475125|6795.80019507|7.95987526924e-12|489265.906215|467965.413474|2812.74455749|188.801639279|892.013230401|-1.0|6751.74897705|12706.4069631|2392.66817627,,
WH0M_M125, ,-1,0,,/WHiggs0MToZZTo4L_M125_13TeV_JHUgenV6_pythia8/RunIISpring16MiniAODv2-PUSpring16RAWAODSIM_reHLT_80X_mcRun2_asymptotic_v14-v1/MINIAODSIM,dbs,,2,ghz4=1;SPIN=0;REWEIGHTING_TYPE=WHZZ_spin0;VVMODE=1;VVDECAYMODE=0;PRODANOMALOUS=True;REWEIGHTING_CUTOFFS=18.6246191339|335.560220627|-1.0|5.88254664706e-13|8561.40889551|1567.69546454|1060.01563461|6.31860342884|28.6161727924|28.4680592957|221.852194397|80.4558213196|378.813281174,,
WH0Mf05ph0_M125, ,-1,0,,/WHiggs0Mf05ph0ToZZTo4L_M125_13TeV_JHUgenV6_pythia8/RunIISpring16MiniAODv2-PUSpring16RAWAODSIM_reHLT_80X_mcRun2_asymptotic_v14-v1/MINIAODSIM,dbs,,2,ghz1=1;ghz4=0.1236136;SPIN=0;REWEIGHTING_TYPE=WHZZ_spin0;VVMODE=1;VVDECAYMODE=0;PRODANOMALOUS=True;REWEIGHTING_CUTOFFS=22.8468287691|826.088462329|286.279348581|2.85398998631e-12|17825.2294268|22445.3060674|4925.33187602|41.1375552616|-1.0|82.0845202812|196.775357223|895.77703938|1434.5211014,,
WH0PH_M125, ,-1,0,,/WHiggs0PHToZZTo4L_M125_13TeV_JHUgenV6_pythia8/RunIISpring16MiniAODv2-PUSpring16RAWAODSIM_reHLT_80X_mcRun2_asymptotic_v14-v1/MINIAODSIM,dbs,,2,ghz2=1;SPIN=0;REWEIGHTING_TYPE=WHZZ_spin0;VVMODE=1;VVDECAYMODE=0;PRODANOMALOUS=True;REWEIGHTING_CUTOFFS=1.1008496788|-1.0|13.3583774918|1.26969913511e-13|238.976199658|1304.00821152|333.129675879|0.848853496647|3.04063800621|3.78383009109|15.7053675766|34.6945061584|65.2662554932,,
WH0PHf05ph0_M125, ,-1,0,,/WHiggs0PHf05ph0ToZZTo4L_M125_13TeV_JHUgenV6_pythia8/RunIISpring16MiniAODv2-PUSpring16RAWAODSIM_reHLT_80X_mcRun2_asymptotic_v14-v1/MINIAODSIM,dbs,,2,ghz1=1;ghz2=0.0998956;SPIN=0;REWEIGHTING_TYPE=WHZZ_spin0;VVMODE=1;VVDECAYMODE=0;PRODANOMALOUS=True;REWEIGHTING_CUTOFFS=147.356841068|7513.42992148|1606.38878582|8.08481545817e-12|161764.527237|102189.885695|13809.1070812|-1.0|280.538218643|208.817608749|2126.33704561|2443.59062964|4452.52366821,,
WH0PM_M125, ,-1,0,,/WHiggs0PMToZZTo4L_M125_13TeV_JHUgenV6_pythia8/RunIISpring16MiniAODv2-PUSpring16RAWAODSIM_reHLT_80X_mcRun2_asymptotic_v14-v1/MINIAODSIM,dbs,,2,ghz1=1;SPIN=0;REWEIGHTING_TYPE=WHZZ_spin0;VVMODE=1;VVDECAYMODE=0;PRODANOMALOUS=True;REWEIGHTING_CUTOFFS=-1.0|4767.20659766|2084.53256602|2.0501384014e-11|124950.9743|161310.837969|16921.0794769|125.754751483|185.918762549|725.084924999|1483.37682114|3677.53012432|11918.0806543,,

ZH0L1_M125, ,-1,0,,/ZHiggs0L1ToZZ_4LFilter_M125_13TeV_JHUgenV6_pythia8/RunIISpring16MiniAODv2-PUSpring16RAWAODSIM_reHLT_80X_mcRun2_asymptotic_v14-v1/MINIAODSIM,dbs,,2,ghz1_prime2=1;SPIN=0;REWEIGHTING_TYPE=ZHZZ_spin0;VVMODE=1;VVDECAYMODE=-2;PRODANOMALOUS=True;REWEIGHTING_CUTOFFS=4.0518540545e+15|4.06320678049e+16|3.06396661885e+16|-1.0|1.03487939997e+18|1.88116646987e+18|2.32712543116e+17|8.67227944982e+14|3.93346776385e+15|9.31040851079e+14|4.70277216442e+16|3.90760574176e+16|1.44033707178e+16,,
ZH0L1f05ph0_M125, ,-1,0,,/ZHiggs0L1f05ph0ToZZ_4LFilter_M125_13TeV_JHUgenV6_pythia8/RunIISpring16MiniAODv2-PUSpring16RAWAODSIM_reHLT_80X_mcRun2_asymptotic_v14-v1/MINIAODSIM,dbs,,2,ghz1=1;ghz1_prime2=-517.788;SPIN=0;REWEIGHTING_TYPE=ZHZZ_spin0;VVMODE=1;VVDECAYMODE=-2;PRODANOMALOUS=True;REWEIGHTING_CUTOFFS=155.803901446|9974.2929117|2778.03417331|4.53192731072e-12|254751.164091|250551.297564|6506.3616125|169.400303203|510.152935916|-1.0|4504.31704081|7761.86882114|1588.08040298,,
ZH0M_M125, ,-1,0,,/ZHiggs0MToZZ_4LFilter_M125_13TeV_JHUgenV6_pythia8/RunIISpring16MiniAODv2-PUSpring16RAWAODSIM_reHLT_80X_mcRun2_asymptotic_v14-v1/MINIAODSIM,dbs,,2,ghz4=1;SPIN=0;REWEIGHTING_TYPE=ZHZZ_spin0;VVMODE=1;VVDECAYMODE=-2;PRODANOMALOUS=True;REWEIGHTING_CUTOFFS=21.0291419525|314.42682539|-1.0|5.91818473828e-13|7631.14739219|1683.23815879|1224.92860195|5.85934484252|25.4957231811|19.3929548157|195.29795647|105.268413794|305.942438623,,
ZH0Mf05ph0_M125, ,-1,0,,/ZHiggs0Mf05ph0ToZZ_4LFilter_M125_13TeV_JHUgenV6_pythia8/RunIISpring16MiniAODv2-PUSpring16RAWAODSIM_reHLT_80X_mcRun2_asymptotic_v14-v1/MINIAODSIM,dbs,,2,ghz1=1;ghz4=0.144057;SPIN=0;REWEIGHTING_TYPE=ZHZZ_spin0;VVMODE=1;VVDECAYMODE=-2;PRODANOMALOUS=True;REWEIGHTING_CUTOFFS=4.35879993896|223.006795654|76.8231445556|1.55350351229e-12|5814.61642969|3614.95931172|3193.22989258|7.38007079163|-1.0|57.9944846374|67.4907513794|98.8060348144|995.528306152,,
ZH0PH_M125, ,-1,0,,/ZHiggs0PHToZZ_4LFilter_M125_13TeV_JHUgenV6_pythia8/RunIISpring16MiniAODv2-PUSpring16RAWAODSIM_reHLT_80X_mcRun2_asymptotic_v14-v1/MINIAODSIM,dbs,,2,ghz2=1;SPIN=0;REWEIGHTING_TYPE=ZHZZ_spin0;VVMODE=1;VVDECAYMODE=-2;PRODANOMALOUS=True;REWEIGHTING_CUTOFFS=1.78793386965|-1.0|8.35763637142|1.64549105214e-13|287.915887573|786.584046374|301.353533704|0.805135623133|2.94300371027|6.02647036295|26.6993960648|33.5559225403|105.783192682,,
ZH0PHf05ph0_M125, ,-1,0,,/ZHiggs0PHf05ph0ToZZ_4LFilter_M125_13TeV_JHUgenV6_pythia8/RunIISpring16MiniAODv2-PUSpring16RAWAODSIM_reHLT_80X_mcRun2_asymptotic_v14-v1/MINIAODSIM,dbs,,2,ghz1=1;ghz2=0.112481;SPIN=0;REWEIGHTING_TYPE=ZHZZ_spin0;VVMODE=1;VVDECAYMODE=-2;PRODANOMALOUS=True;REWEIGHTING_CUTOFFS=81.5256766678|2222.71372637|593.377668175|3.52803642186e-12|50400.454393|43868.797043|7509.14531611|-1.0|144.050808255|115.852018724|1051.71996418|1124.44939668|2020.59899768,,
ZH0PM_M125, ,-1,0,,/ZHiggs0PMToZZ_4LFilter_M125_13TeV_JHUgenV6_pythia8/RunIISpring16MiniAODv2-PUSpring16RAWAODSIM_reHLT_80X_mcRun2_asymptotic_v14-v1/MINIAODSIM,dbs,,2,ghz1=1;SPIN=0;REWEIGHTING_TYPE=ZHZZ_spin0;VVMODE=1;VVDECAYMODE=-2;PRODANOMALOUS=True;REWEIGHTING_CUTOFFS=-1.0|2550.63767246|1080.36010449|1.6890488283e-11|69591.9980125|75211.829025|19481.9515344|89.4178279724|127.148961914|508.359296289|785.886689111|2570.02310859|9050.09003203,,

HJJ0M_M125, ,-1,0,,/JJHiggs0MToZZTo4L_M125_13TeV_JHUgenV6_pythia8/RunIISpring16MiniAODv2-PUSpring16RAWAODSIM_reHLT_80X_mcRun2_asymptotic_v14-v1/MINIAODSIM,dbs,,2,ghz4=1;APPLY_K_NNLOQCD_ZZGG=2;PRODANOMALOUS=True,,
HJJ0Mf05ph0_M125, ,-1,0,,/JJHiggs0Mf05ph0ToZZTo4L_M125_13TeV_JHUgenV6_pythia8/RunIISpring16MiniAODv2-PUSpring16RAWAODSIM_reHLT_80X_mcRun2_asymptotic_v14-v1/MINIAODSIM,dbs,,2,ghz1=1;ghz4=2.55052;APPLY_K_NNLOQCD_ZZGG=2;PRODANOMALOUS=True,,
HJJ0PM_M125, ,-1,0,,/JJHiggs0PMToZZTo4L_M125_13TeV_JHUgenV6_pythia8/RunIISpring16MiniAODv2-PUSpring16RAWAODSIM_reHLT_80X_mcRun2_asymptotic_v14-v1/MINIAODSIM,dbs,,2,ghz1=1;APPLY_K_NNLOQCD_ZZGG=2;PRODANOMALOUS=True,,

ttH0M_M125, ,-1,0,,/ttHiggs0MToZZ_4LFilter_M125_13TeV_JHUgenV6_pythia8/RunIISpring16MiniAODv2-PUSpring16RAWAODSIM_reHLT_80X_mcRun2_asymptotic_v14-v1/MINIAODSIM,dbs,,2,ghz4=1;APPLY_K_NNLOQCD_ZZGG=2;PRODANOMALOUS=True,,
ttH0Mf05ph0_M125, ,-1,0,,/ttHiggs0Mf05ph0ToZZ_4LFilter_M125_13TeV_JHUgenV6_pythia8/RunIISpring16MiniAODv2-PUSpring16RAWAODSIM_reHLT_80X_mcRun2_asymptotic_v14-v1/MINIAODSIM,dbs,,2,ghz1=1;ghz4=2.55052;APPLY_K_NNLOQCD_ZZGG=2;PRODANOMALOUS=True,,
ttH0PM_M125, ,-1,0,,/ttHiggs0PMToZZ_4LFilter_M125_13TeV_JHUgenV6_pythia8/RunIISpring16MiniAODv2-PUSpring16RAWAODSIM_reHLT_80X_mcRun2_asymptotic_v14-v1/MINIAODSIM,dbs,,2,ghz1=1;APPLY_K_NNLOQCD_ZZGG=2;PRODANOMALOUS=True,,

###,,,,,,,,,,,#For graviton samples apply NNLO/LO K factor at the very most not NNLO/NLO as in POWHEG spin-0 samples (they already have NLO mass shape)
